time,key,event,hold_time
1757144568.557446,'j',press,
1757144568.5831091,'j',release,0.026
1757144569.0750709,Key.backspace,press,
1757144569.194314,Key.backspace,release,0.119
1757144569.673074,'h',press,
1757144569.744664,'h',release,0.072
1757144569.826955,'o',press,
1757144569.8825889,'o',release,0.056
1757144570.033717,'i',press,
1757144570.072115,'i',release,0.038
1757144570.29129,Key.backspace,press,
1757144570.349886,Key.backspace,release,0.059
1757144570.4471,Key.backspace,press,
1757144570.509602,Key.backspace,release,0.063
1757144571.064399,'i',press,
1757144571.099642,'i',release,0.035
1757144571.19398,'i',press,
1757144571.2503328,'i',release,0.056
1757144571.413694,Key.space,press,
1757144571.4971972,Key.space,release,0.084
1757144571.579504,'t',press,
1757144571.6703649,'t',release,0.091
1757144571.6990561,'h',press,
1757144571.779468,'h',release,0.08
1757144571.7993119,'i',press,
1757144571.8999739,'s',press,
1757144571.906678,'i',release,0.107
1757144571.99532,'s',release,0.095
1757144572.050967,Key.space,press,
1757144572.109637,Key.space,release,0.059
1757144572.5639942,'s',press,
1757144572.648696,'i',press,
1757144572.649594,'s',release,0.086
1757144572.724048,'i',release,0.075
1757144572.795885,'d',press,
1757144572.886893,'d',release,0.091
1757144572.9470038,'e',press,
1757144573.0484731,'e',release,0.101
1757144573.065519,Key.space,press,
1757144573.137381,Key.space,release,0.072
1757144573.210186,'r',press,
1757144573.303178,'r',release,0.093
1757144573.303346,'i',press,
1757144573.4348218,'s',press,
1757144573.436969,'i',release,0.134
1757144573.546459,'h',press,
1757144573.546653,'s',release,0.112
1757144573.635956,'h',release,0.089
1757144573.683619,'i',press,
1757144573.7755861,'i',release,0.092
1757144573.949549,Key.space,press,
1757144573.987555,Key.space,release,0.038
1757144574.396887,'g',press,
1757144574.458733,'g',release,0.062
1757144574.54565,'u',press,
1757144574.625851,'u',release,0.08
1757144574.753655,'p',press,
1757144574.867593,'p',release,0.114
1757144574.934752,'t',press,
1757144575.0291,'t',release,0.094
1757144575.188753,'a',press,
1757144575.286154,'a',release,0.097
1757144575.350004,Key.space,press,
1757144575.41211,Key.space,release,0.062
1757144575.532056,'f',press,
1757144575.622859,'f',release,0.091
1757144575.7456279,'r',press,
1757144575.83646,'r',release,0.091
1757144575.879471,'o',press,
1757144575.969769,'o',release,0.09
1757144576.101069,'m',press,
1757144576.162986,'m',release,0.062
1757144576.296035,Key.space,press,
1757144576.353576,Key.space,release,0.058
1757144577.686155,'m',press,
1757144577.761434,'m',release,0.075
1757144577.8831959,'i',press,
1757144577.938582,'i',release,0.055
1757144578.041672,'n',press,
1757144578.086685,'n',release,0.045
1757144578.169585,'u',press,
1757144578.242945,'u',release,0.073
1757144578.331659,'s',press,
1757144578.406018,'s',release,0.074
1757144578.452013,Key.space,press,
1757144578.496565,Key.space,release,0.045
1757144580.5388951,'a',press,
1757144580.6378188,'a',release,0.099
1757144580.674724,'n',press,
1757144580.737077,'n',release,0.062
1757144580.8257961,'d',press,
1757144580.8870258,'d',release,0.061
1757144580.906646,Key.space,press,
1757144580.958048,Key.space,release,0.051
1757144581.1193779,'a',press,
1757144581.224849,'a',release,0.105
1757144581.260944,'b',press,
1757144581.334087,'b',release,0.073
1757144581.4859982,'l',press,
1757144581.592553,'l',release,0.107
1757144581.615687,'e',press,
1757144581.68959,'e',release,0.074
1757144581.748825,Key.space,press,
1757144581.820821,Key.space,release,0.072
1757144581.894482,'t',press,
1757144581.997488,'o',press,
1757144581.997833,'t',release,0.103
1757144582.0931358,'o',release,0.096
1757144582.228111,Key.space,press,
1757144582.2900338,Key.space,release,0.062
1757144582.5009532,'f',press,
1757144582.5793421,'f',release,0.078
1757144582.647619,'k',press,
1757144582.647882,'j',press,
1757144582.70518,'j',release,0.057
1757144582.711833,'k',release,0.064
1757144582.7118862,'f',press,
1757144582.757519,'f',release,0.046
1757144583.068479,'m',press,
1757144583.1437771,'m',release,0.075
1757144583.600944,Key.space,press,
1757144583.665666,Key.space,release,0.065
1757144583.98832,'d',press,
1757144584.064516,'j',press,
1757144584.081991,'f',press,
1757144584.1147368,'d',release,0.126
1757144584.141143,'n',press,
1757144584.162994,'j',release,0.098
1757144584.194577,'n',release,0.053
1757144584.202271,'f',release,0.12
1757144584.2482429,'s',press,
1757144584.248425,'d',press,
1757144584.2774541,'d',release,0.029
1757144584.282807,'s',release,0.035
1757144584.333579,'f',press,
1757144584.363274,'f',release,0.03
1757144584.547817,Key.space,press,
1757144584.5963352,Key.space,release,0.049
1757144584.832509,'j',press,
1757144584.857949,'f',press,
1757144584.880037,'b',press,
1757144584.882568,'n',press,
1757144584.933465,'n',release,0.051
1757144584.938793,'b',release,0.059
1757144584.9412339,'j',release,0.109
1757144584.9580731,'f',release,0.1
1757144585.4050171,Key.space,press,
1757144585.45373,Key.space,release,0.049
1757144585.669329,'f',press,
1757144585.787591,'f',release,0.118
1757144585.8423219,'s',press,
1757144585.858162,'d',press,
1757144585.923562,'d',release,0.065
1757144585.931354,'k',press,
1757144585.934806,'s',release,0.092
1757144585.9507608,'j',press,
1757144585.991775,'j',release,0.041
1757144586.019902,'k',release,0.089
1757144586.374163,'a',press,
1757144586.459373,'a',release,0.085
1757144586.650899,Key.space,press,
1757144586.7332768,Key.space,release,0.082
1757144587.050089,'o',press,
1757144587.1153972,'a',press,
1757144587.203152,'a',release,0.088
1757144587.227448,'w',press,
